Price,Model Year,Mileage,Eng_Cap,City_Lahore,City_Islamabad,City_Karachi,City_Un-Registered,Eng_Type_Petrol,Eng_Type_Hybrid,Eng_Type_Diesel,Transmission_Manual,Transmission_Automatic,Body_Type_Hatchback,Body_Type_Sedan,Body_Type_SUV,Body_Type_Mini Van,Body_Type_Crossover,Make_Suzuki,Make_Toyota,Make_Honda,Make_Daihatsu,Make_Nissan
1700000.0,2006,89000,1300,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
775000.0,2009,90000,1000,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
1150000.0,2011,107500,660,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
875000.0,2013,60000,1000,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
1350000.0,2013,90000,660,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
1170000.0,2007,200000,1600,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2075000.0,2014,70000,1300,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1245000.0,2010,210000,1800,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1050000.0,2008,130000,660,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
175000.0,1990,170000,1300,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
865000.0,2011,110000,1000,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
600000.0,2000,163000,1300,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
450000.0,1996,100000,1000,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
1625000.0,2014,87000,1300,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1150000.0,2004,180000,1000,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
435000.0,2002,110000,800,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
1125000.0,2011,103335,1300,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
3300000.0,2013,60000,1800,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
760000.0,2015,45000,800,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2275000.0,2016,75546,1000,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1700000.0,2018,75000,1300,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
1720000.0,2011,114000,1300,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1210000.0,2007,187632,1000,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2350000.0,2016,20000,1000,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1725000.0,2010,115000,1800,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
14000000.0,2008,91000,4600,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
690000.0,1995,123456,1500,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1950000.0,2016,84207,1300,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
